question,answer
What is 864 minus 394?,470
What is 776 minus 911?,-135
What is 430 minus 41?,389
What is 265 minus 988?,-723
What is 523 minus 497?,26
What is 414 minus 940?,-526
What is 802 minus 849?,-47
What is 310 minus 991?,-681
What is 488 minus 366?,122
What is 597 minus 913?,-316
What is 929 minus 223?,706
What is 516 minus 142?,374
What is 288 minus 143?,145
What is 773 minus 97?,676
What is 633 minus 818?,-185
What is 256 minus 931?,-675
What is 545 minus 722?,-177
What is 829 minus 616?,213
What is 923 minus 150?,773
What is 317 minus 101?,216
What is 747 minus 75?,672
What is 920 minus 870?,50
What is 700 minus 338?,362
What is 483 minus 573?,-90
What is 103 minus 362?,-259
What is 444 minus 323?,121
What is 625 minus 655?,-30
What is 934 minus 209?,725
What is 989 minus 565?,424
What is 488 minus 453?,35
What is 886 minus 533?,353
What is 266 minus 63?,203
What is 824 minus 940?,-116
What is 561 minus 937?,-376
What is 14 minus 95?,-81
What is 736 minus 860?,-124
What is 408 minus 727?,-319
What is 844 minus 803?,41
What is 684 minus 640?,44
What is 1 minus 626?,-625
What is 505 minus 847?,-342
What is 888 minus 341?,547
What is 249 minus 747?,-498
What is 333 minus 720?,-387
What is 891 minus 64?,827
What is 195 minus 939?,-744
What is 581 minus 227?,354
What is 244 minus 822?,-578
What is 990 minus 145?,845
What is 822 minus 556?,266
What is 458 minus 93?,365
What is 82 minus 327?,-245
What is 896 minus 520?,376
What is 955 minus 501?,454
What is 111 minus 308?,-197
What is 564 minus 298?,266
What is 723 minus 127?,596
What is 560 minus 340?,220
What is 834 minus 944?,-110
What is 553 minus 208?,345
What is 986 minus 818?,168
What is 617 minus 560?,57
What is 601 minus 294?,307
What is 455 minus 93?,362
What is 610 minus 817?,-207
What is 394 minus 324?,70
What is 589 minus 247?,342
What is 297 minus 188?,109
What is 193 minus 841?,-648
What is 191 minus 33?,158
What is 627 minus 672?,-45
What is 266 minus 487?,-221
What is 70 minus 91?,-21
What is 695 minus 775?,-80
What is 133 minus 897?,-764
What is 153 minus 945?,-792
What is 39 minus 862?,-823
What is 82 minus 919?,-837
What is 716 minus 945?,-229
What is 849 minus 553?,296
What is 699 minus 400?,299
What is 857 minus 722?,135
What is 537 minus 282?,255
What is 534 minus 831?,-297
What is 241 minus 869?,-628
What is 220 minus 916?,-696
What is 695 minus 603?,92
What is 845 minus 972?,-127
What is 429 minus 593?,-164
What is 281 minus 461?,-180
