question,answer
What is 49 plus 97?,146
What is 53 plus 5?,58
What is 33 plus 65?,98
What is 62 plus 51?,113
What is 38 plus 61?,99
What is 45 plus 74?,119
What is 27 plus 64?,91
What is 17 plus 36?,53
What is 17 plus 96?,113
What is 12 plus 79?,91
What is 32 plus 68?,100
What is 90 plus 77?,167
What is 18 plus 39?,57
What is 12 plus 93?,105
What is 9 plus 87?,96
What is 42 plus 60?,102
What is 71 plus 12?,83
What is 45 plus 55?,100
What is 40 plus 78?,118
What is 81 plus 26?,107
What is 70 plus 61?,131
What is 56 plus 66?,122
What is 33 plus 7?,40
What is 70 plus 1?,71
What is 11 plus 92?,103
What is 51 plus 90?,141
What is 85 plus 80?,165
What is 0 plus 78?,78
What is 63 plus 42?,105
What is 31 plus 93?,124
What is 41 plus 90?,131
What is 8 plus 24?,32
What is 72 plus 28?,100
What is 30 plus 18?,48
What is 69 plus 57?,126
What is 11 plus 10?,21
What is 40 plus 65?,105
What is 62 plus 13?,75
What is 38 plus 70?,108
What is 37 plus 90?,127
What is 15 plus 70?,85
What is 42 plus 69?,111
What is 26 plus 77?,103
What is 70 plus 75?,145
What is 36 plus 56?,92
What is 11 plus 76?,87
What is 49 plus 40?,89
What is 73 plus 30?,103
What is 37 plus 23?,60
What is 24 plus 23?,47
What is 4 plus 78?,82
What is 84 plus 33?,117
What is 60 plus 8?,68
What is 11 plus 86?,97
What is 96 plus 16?,112
What is 19 plus 4?,23
What is 10 plus 89?,99
What is 69 plus 87?,156
What is 50 plus 90?,140
What is 67 plus 35?,102
What is 66 plus 30?,96
What is 27 plus 86?,113
What is 75 plus 53?,128
What is 74 plus 35?,109
What is 57 plus 63?,120
What is 84 plus 82?,166
What is 89 plus 45?,134
What is 10 plus 41?,51
What is 78 plus 14?,92
What is 62 plus 75?,137
What is 80 plus 42?,122
What is 24 plus 31?,55
What is 2 plus 93?,95
What is 34 plus 14?,48
What is 90 plus 28?,118
What is 47 plus 21?,68
What is 42 plus 54?,96
What is 7 plus 12?,19
What is 18 plus 89?,107
What is 28 plus 5?,33
What is 73 plus 81?,154
What is 68 plus 77?,145
What is 87 plus 9?,96
What is 3 plus 15?,18
What is 81 plus 24?,105
What is 77 plus 73?,150
What is 15 plus 50?,65
What is 11 plus 47?,58
What is 14 plus 4?,18
What is 77 plus 2?,79
What is 24 plus 23?,47
What is 91 plus 15?,106
What is 61 plus 26?,87
What is 93 plus 7?,100
What is 86 plus 2?,88
What is 69 plus 54?,123
What is 79 plus 12?,91
What is 33 plus 8?,41
What is 28 plus 9?,37
What is 82 plus 38?,120
What is 44 plus 55?,99
What is 23 plus 7?,30
What is 64 plus 59?,123
What is 5 plus 76?,81
What is 12 plus 89?,101
What is 50 plus 25?,75
What is 33 plus 45?,78
What is 93 plus 60?,153
What is 72 plus 21?,93
What is 89 plus 86?,175
What is 26 plus 98?,124
What is 7 plus 86?,93
What is 20 plus 20?,40
What is 43 plus 67?,110
What is 32 plus 15?,47
What is 76 plus 56?,132
What is 85 plus 22?,107
What is 1 plus 60?,61
What is 87 plus 52?,139
What is 72 plus 65?,137
What is 39 plus 83?,122
What is 45 plus 49?,94
What is 84 plus 32?,116
What is 19 plus 71?,90
What is 88 plus 1?,89
What is 58 plus 94?,152
What is 10 plus 42?,52
What is 94 plus 5?,99
What is 69 plus 35?,104
What is 17 plus 30?,47
