question,answer
What is 50494 plus 99346?,149840
What is 55125 plus 5306?,60431
What is 33936 plus 67013?,100949
What is 63691 plus 53075?,116766
What is 39755 plus 62468?,102223
What is 46930 plus 76465?,123395
What is 28631 plus 66150?,94781
What is 18254 plus 36941?,55195
What is 18316 plus 99064?,117380
What is 12429 plus 81050?,93479
What is 32834 plus 69804?,102638
What is 92428 plus 78892?,171320
What is 19262 plus 40651?,59913
What is 12945 plus 95660?,108605
What is 9665 plus 89651?,99316
What is 43279 plus 61884?,105163
What is 73375 plus 13199?,86574
What is 46372 plus 56907?,103279
What is 41444 plus 80070?,121514
What is 83941 plus 26801?,110742
What is 72420 plus 62522?,134942
What is 58024 plus 68334?,126358
What is 34143 plus 8163?,42306
What is 71919 plus 1840?,73759
What is 12225 plus 94333?,106558
What is 52274 plus 93094?,145368
What is 87576 plus 81954?,169530
What is 149 plus 80202?,80351
What is 64694 plus 43664?,108358
What is 31969 plus 95719?,127688
What is 42625 plus 92227?,134852
What is 8255 plus 25043?,33298
What is 74384 plus 29059?,103443
What is 31275 plus 18677?,49952
What is 71170 plus 58716?,129886
What is 11955 plus 10544?,22499
What is 41950 plus 66576?,108526
What is 64131 plus 14294?,78425
What is 39511 plus 72255?,111766
What is 38153 plus 92610?,130763
What is 16359 plus 71754?,88113
What is 43614 plus 70816?,114430
What is 26634 plus 79060?,105694
What is 71726 plus 77020?,148746
What is 37703 plus 58325?,96028
What is 12010 plus 78156?,90166
What is 50449 plus 41555?,92004
What is 75451 plus 31733?,107184
What is 38054 plus 24100?,62154
What is 24823 plus 24475?,49298
What is 4321 plus 80317?,84638
What is 86069 plus 34086?,120155
What is 62459 plus 9055?,71514
What is 11773 plus 88961?,100734
What is 99300 plus 17068?,116368
What is 19601 plus 5064?,24665
What is 10518 plus 91661?,102179
What is 70857 plus 89587?,160444
What is 51287 plus 92442?,143729
What is 68756 plus 36127?,104883
What is 68392 plus 30867?,99259
What is 28206 plus 89060?,117266
What is 77306 plus 54974?,132280
What is 75981 plus 36072?,112053
What is 59056 plus 64573?,123629
What is 86539 plus 84042?,170581
What is 91779 plus 46840?,138619
What is 10796 plus 42509?,53305
What is 80318 plus 15119?,95437
What is 63759 plus 76949?,140708
What is 82594 plus 43944?,126538
What is 24953 plus 31855?,56808
What is 2124 plus 95877?,98001
What is 35525 plus 15353?,50878
What is 92449 plus 28896?,121345
