question,answer
What is 864 plus 394?,1258
What is 776 plus 911?,1687
What is 430 plus 41?,471
What is 265 plus 988?,1253
What is 523 plus 497?,1020
What is 414 plus 940?,1354
What is 802 plus 849?,1651
What is 310 plus 991?,1301
What is 488 plus 366?,854
What is 597 plus 913?,1510
What is 929 plus 223?,1152
What is 516 plus 142?,658
What is 288 plus 143?,431
What is 773 plus 97?,870
What is 633 plus 818?,1451
What is 256 plus 931?,1187
What is 545 plus 722?,1267
What is 829 plus 616?,1445
What is 923 plus 150?,1073
What is 317 plus 101?,418
What is 747 plus 75?,822
What is 920 plus 870?,1790
What is 700 plus 338?,1038
What is 483 plus 573?,1056
What is 103 plus 362?,465
What is 444 plus 323?,767
What is 625 plus 655?,1280
What is 934 plus 209?,1143
What is 989 plus 565?,1554
What is 488 plus 453?,941
What is 886 plus 533?,1419
What is 266 plus 63?,329
What is 824 plus 940?,1764
What is 561 plus 937?,1498
What is 14 plus 95?,109
What is 736 plus 860?,1596
What is 408 plus 727?,1135
What is 844 plus 803?,1647
What is 684 plus 640?,1324
What is 1 plus 626?,627
What is 505 plus 847?,1352
What is 888 plus 341?,1229
What is 249 plus 747?,996
What is 333 plus 720?,1053
What is 891 plus 64?,955
What is 195 plus 939?,1134
What is 581 plus 227?,808
What is 244 plus 822?,1066
What is 990 plus 145?,1135
What is 822 plus 556?,1378
What is 458 plus 93?,551
What is 82 plus 327?,409
What is 896 plus 520?,1416
What is 955 plus 501?,1456
What is 111 plus 308?,419
What is 564 plus 298?,862
What is 723 plus 127?,850
What is 560 plus 340?,900
What is 834 plus 944?,1778
What is 553 plus 208?,761
What is 986 plus 818?,1804
What is 617 plus 560?,1177
What is 601 plus 294?,895
What is 455 plus 93?,548
What is 610 plus 817?,1427
What is 394 plus 324?,718
What is 589 plus 247?,836
What is 297 plus 188?,485
What is 193 plus 841?,1034
What is 191 plus 33?,224
What is 627 plus 672?,1299
What is 266 plus 487?,753
What is 70 plus 91?,161
What is 695 plus 775?,1470
What is 133 plus 897?,1030
What is 153 plus 945?,1098
What is 39 plus 862?,901
What is 82 plus 919?,1001
What is 716 plus 945?,1661
What is 849 plus 553?,1402
What is 699 plus 400?,1099
What is 857 plus 722?,1579
What is 537 plus 282?,819
What is 534 plus 831?,1365
What is 241 plus 869?,1110
What is 220 plus 916?,1136
What is 695 plus 603?,1298
What is 845 plus 972?,1817
What is 429 plus 593?,1022
What is 281 plus 461?,742
What is 504 plus 676?,1180
What is 656 plus 717?,1373
What is 938 plus 812?,1750
What is 365 plus 84?,449
What is 332 plus 627?,959
What is 118 plus 498?,616
What is 601 plus 645?,1246
What is 343 plus 865?,1208
What is 194 plus 248?,442
What is 16 plus 749?,765
What is 277 plus 119?,396
What is 722 plus 225?,947
What is 380 plus 813?,1193
What is 174 plus 340?,514
What is 436 plus 835?,1271
What is 63 plus 103?,166
What is 801 plus 149?,950
What is 875 plus 714?,1589
What is 224 plus 46?,270
What is 836 plus 587?,1423
What is 649 plus 931?,1580
What is 958 plus 547?,1505
What is 616 plus 696?,1312
What is 75 plus 27?,102
What is 127 plus 650?,777
What is 193 plus 620?,813
What is 850 plus 589?,1439
What is 122 plus 400?,522
What is 93 plus 379?,472
What is 853 plus 118?,971
What is 37 plus 620?,657
What is 22 plus 199?,221
What is 984 plus 993?,1977
What is 189 plus 735?,924
What is 126 plus 490?,616
What is 215 plus 744?,959
What is 819 plus 62?,881
What is 959 plus 695?,1654
What is 23 plus 557?,580
What is 435 plus 635?,1070
What is 103 plus 855?,958
What is 266 plus 71?,337
What is 226 plus 73?,299
What is 662 plus 308?,970
What is 358 plus 446?,804
What is 184 plus 62?,246
What is 515 plus 478?,993
What is 40 plus 610?,650
What is 103 plus 716?,819
What is 400 plus 204?,604
What is 266 plus 367?,633
What is 926 plus 749?,1675
