question,answer
What is 49 minus 97?,-48
What is 53 minus 5?,48
What is 33 minus 65?,-32
What is 62 minus 51?,11
What is 38 minus 61?,-23
What is 45 minus 74?,-29
What is 27 minus 64?,-37
What is 17 minus 36?,-19
What is 17 minus 96?,-79
What is 12 minus 79?,-67
What is 32 minus 68?,-36
What is 90 minus 77?,13
What is 18 minus 39?,-21
What is 12 minus 93?,-81
What is 9 minus 87?,-78
What is 42 minus 60?,-18
What is 71 minus 12?,59
What is 45 minus 55?,-10
What is 40 minus 78?,-38
What is 81 minus 26?,55
What is 70 minus 61?,9
What is 56 minus 66?,-10
What is 33 minus 7?,26
What is 70 minus 1?,69
What is 11 minus 92?,-81
What is 51 minus 90?,-39
What is 85 minus 80?,5
What is 0 minus 78?,-78
What is 63 minus 42?,21
What is 31 minus 93?,-62
What is 41 minus 90?,-49
What is 8 minus 24?,-16
What is 72 minus 28?,44
What is 30 minus 18?,12
What is 69 minus 57?,12
What is 11 minus 10?,1
What is 40 minus 65?,-25
What is 62 minus 13?,49
What is 38 minus 70?,-32
What is 37 minus 90?,-53
What is 15 minus 70?,-55
What is 42 minus 69?,-27
What is 26 minus 77?,-51
What is 70 minus 75?,-5
What is 36 minus 56?,-20
What is 11 minus 76?,-65
What is 49 minus 40?,9
What is 73 minus 30?,43
What is 37 minus 23?,14
What is 24 minus 23?,1
What is 4 minus 78?,-74
What is 84 minus 33?,51
What is 60 minus 8?,52
What is 11 minus 86?,-75
What is 96 minus 16?,80
What is 19 minus 4?,15
What is 10 minus 89?,-79
What is 69 minus 87?,-18
What is 50 minus 90?,-40
What is 67 minus 35?,32
What is 66 minus 30?,36
What is 27 minus 86?,-59
What is 75 minus 53?,22
What is 74 minus 35?,39
What is 57 minus 63?,-6
What is 84 minus 82?,2
What is 89 minus 45?,44
What is 10 minus 41?,-31
What is 78 minus 14?,64
What is 62 minus 75?,-13
What is 80 minus 42?,38
What is 24 minus 31?,-7
What is 2 minus 93?,-91
What is 34 minus 14?,20
What is 90 minus 28?,62
What is 47 minus 21?,26
What is 42 minus 54?,-12
What is 7 minus 12?,-5
What is 18 minus 89?,-71
What is 28 minus 5?,23
What is 73 minus 81?,-8
What is 68 minus 77?,-9
What is 87 minus 9?,78
What is 3 minus 15?,-12
What is 81 minus 24?,57
What is 77 minus 73?,4
What is 15 minus 50?,-35
What is 11 minus 47?,-36
What is 14 minus 4?,10
What is 77 minus 2?,75
What is 24 minus 23?,1
What is 91 minus 15?,76
What is 61 minus 26?,35
What is 93 minus 7?,86
What is 86 minus 2?,84
What is 69 minus 54?,15
What is 79 minus 12?,67
What is 33 minus 8?,25
What is 28 minus 9?,19
What is 82 minus 38?,44
What is 44 minus 55?,-11
What is 23 minus 7?,16
What is 64 minus 59?,5
What is 5 minus 76?,-71
What is 12 minus 89?,-77
What is 50 minus 25?,25
What is 33 minus 45?,-12
What is 93 minus 60?,33
What is 72 minus 21?,51
What is 89 minus 86?,3
What is 26 minus 98?,-72
What is 7 minus 86?,-79
What is 20 minus 20?,0
What is 43 minus 67?,-24
What is 32 minus 15?,17
What is 76 minus 56?,20
What is 85 minus 22?,63
What is 1 minus 60?,-59
What is 87 minus 52?,35
What is 72 minus 65?,7
What is 39 minus 83?,-44
What is 45 minus 49?,-4
What is 84 minus 32?,52
