question,answer
What is 6311 minus 6890?,-579
What is 663 minus 4242?,-3579
What is 8376 minus 7961?,415
What is 6634 minus 4969?,1665
What is 7808 minus 5866?,1942
What is 9558 minus 3578?,5980
What is 8268 minus 2281?,5987
What is 4617 minus 2289?,2328
What is 1553 minus 4104?,-2551
What is 8725 minus 9861?,-1136
What is 2407 minus 5081?,-2674
What is 1618 minus 1208?,410
What is 5409 minus 7735?,-2326
What is 9171 minus 1649?,7522
What is 5796 minus 7113?,-1317
What is 5180 minus 3350?,1830
What is 9052 minus 7815?,1237
What is 7253 minus 8541?,-1288
What is 4267 minus 1020?,3247
What is 8989 minus 230?,8759
What is 1528 minus 6534?,-5006
What is 18 minus 8086?,-8068
What is 5458 minus 3996?,1462
What is 5328 minus 1031?,4297
What is 3130 minus 9298?,-6168
What is 3632 minus 3909?,-277
What is 2334 minus 8896?,-6562
What is 7339 minus 1494?,5845
What is 1318 minus 5243?,-3925
What is 8322 minus 8016?,306
What is 1786 minus 4938?,-3152
What is 9031 minus 4769?,4262
What is 2044 minus 8969?,-6925
What is 5451 minus 8852?,-3401
What is 3329 minus 9882?,-6553
What is 8965 minus 9627?,-662
What is 4712 minus 7290?,-2578
What is 1501 minus 9769?,-8268
What is 6306 minus 5194?,1112
What is 9431 minus 3966?,5465
What is 4756 minus 3012?,1744
What is 3102 minus 3059?,43
What is 540 minus 4260?,-3720
What is 7807 minus 1131?,6676
What is 1471 minus 2133?,-662
What is 2450 minus 633?,1817
What is 1314 minus 8857?,-7543
What is 6410 minus 8594?,-2184
What is 4515 minus 8549?,-4034
What is 3858 minus 3525?,333
What is 9663 minus 6871?,2792
What is 9497 minus 4509?,4988
What is 7382 minus 8071?,-689
What is 5855 minus 1349?,4506
What is 5313 minus 1889?,3424
What is 7969 minus 9618?,-1649
What is 5493 minus 3119?,2374
What is 3981 minus 265?,3716
What is 4440 minus 1919?,2521
What is 3612 minus 6095?,-2483
What is 2793 minus 5448?,-2655
What is 6981 minus 1018?,5963
What is 1648 minus 2397?,-749
What is 3584 minus 741?,2843
What is 9402 minus 8752?,650
What is 9865 minus 1212?,8653
What is 437 minus 2038?,-1601
What is 3088 minus 9934?,-6846
What is 9436 minus 1961?,7475
What is 6409 minus 1499?,4910
What is 6064 minus 1901?,4163
What is 596 minus 9920?,-9324
What is 354 minus 3188?,-2834
What is 3030 minus 2029?,1001
What is 7851 minus 3450?,4401
What is 1000 minus 373?,627
What is 8916 minus 6973?,1943
What is 1662 minus 4258?,-2596
What is 1146 minus 3618?,-2472
What is 1179 minus 4932?,-3753
What is 5739 minus 7144?,-1405
What is 2954 minus 1000?,1954
What is 8251 minus 7653?,598
What is 645 minus 9772?,-9127
What is 1653 minus 6410?,-4757
What is 3266 minus 4262?,-996
What is 5874 minus 7704?,-1830
What is 9335 minus 2775?,6560
What is 3332 minus 951?,2381
What is 2592 minus 2653?,-61
What is 5608 minus 8674?,-3066
What is 4107 minus 1920?,2187
